CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,norad_id
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-15T02:34:27,18 SPCS,GALILEO 16 (26C),2016-069B,EARTH,TEME,UTC,SGP4,2026-05-14 03:55:25.612032+00:00,1.70473991,0.00047534,55.4761,102.0219,345.7526,14.2010,0,U,41860,999,5907,0.00000000000000,0.00000049,0.0000000000000,29600.321,844.704,23236.256,23208.116,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,5196476,323371080,0 GALILEO 16 (26C),1 41860U 16069B   26134.16349088  .00000049  00000-0  00000-0 0  9999,2 41860  55.4761 102.0219 0004753 345.7526  14.2010  1.70473991 59075,41860
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-20T17:35:22,18 SPCS,GALILEO 16 (26C),2016-069B,EARTH,TEME,UTC,SGP4,2026-05-20 00:42:12.484224+00:00,1.70473924,0.00047579,55.4799,101.8598,347.8096,12.1297,0,U,41860,999,5917,0.00000000000000,0.00000019,0.0000000000000,29600.329,844.704,23236.278,23208.110,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,5207233,323993955,0 GALILEO 16 (26C),1 41860U 16069B   26140.02931116  .00000019  00000-0  00000-0 0  9997,2 41860  55.4799 101.8598 0004758 347.8096  12.1297  1.70473924 59174,41860
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-21T20:56:34,18 SPCS,GALILEO 16 (26C),2016-069B,EARTH,TEME,UTC,SGP4,2026-05-21 04:51:35.161920+00:00,1.70473876,0.00047440,55.4806,101.8273,348.3152,11.6290,0,U,41860,999,5919,0.00000000000000,0.00000020,0.0000000000000,29600.334,844.704,23236.242,23208.157,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,5207638,324134545,0 GALILEO 16 (26C),1 41860U 16069B   26141.20249030  .00000020  00000-0  00000+0 0  9996,2 41860  55.4806 101.8273 0004744 348.3152  11.6290  1.70473876 59192,41860
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-21T17:37:02,18 SPCS,GALILEO 16 (26C),2016-069B,EARTH,TEME,UTC,SGP4,2026-05-21 04:51:35.162784+00:00,1.70473876,0.00047435,55.4806,101.8273,348.3152,11.6290,0,U,41860,999,5919,0.00000000000000,0.00000020,0.0000000000000,29600.334,844.704,23236.240,23208.158,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,5207371,324094480,0 GALILEO 16 (26C),1 41860U 16069B   26141.20249031  .00000020  00000-0  00000-0 0  9998,2 41860  55.4806 101.8273 0004744 348.3152  11.6290  1.70473876 59192,41860
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-25T04:06:45,18 SPCS,GALILEO 16 (26C),2016-069B,EARTH,TEME,UTC,SGP4,2026-05-24 03:15:00.486720+00:00,1.70473965,0.00047432,55.4824,101.7462,349.5269,10.4238,0,U,41860,999,5924,0.00000000000000,0.00000016,0.0000000000000,29600.324,844.704,23236.229,23208.149,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,5212715,324760167,0 GALILEO 16 (26C),1 41860U 16069B   26144.13542230  .00000016  00000-0  00000-0 0  9995,2 41860  55.4824 101.7462 0004743 349.5269  10.4238  1.70473965 59246,41860
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-25T17:37:17,18 SPCS,GALILEO 16 (26C),2016-069B,EARTH,TEME,UTC,SGP4,2026-05-24 17:19:41.416032+00:00,1.70473926,0.00047376,55.4828,101.7300,349.6187,10.3311,0,U,41860,999,5925,0.00000000000000,0.00000014,0.0000000000000,29600.329,844.704,23236.217,23208.170,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,5214505,324966358,0 GALILEO 16 (26C),1 41860U 16069B   26144.72200713  .00000014  00000-0  00000-0 0  9995,2 41860  55.4828 101.7300 0004738 349.6187  10.3311  1.70473926 59254,41860
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-26T10:30:27,18 SPCS,GALILEO 16 (26C),2016-069B,EARTH,TEME,UTC,SGP4,2026-05-25 21:29:02.802912+00:00,1.70473945,0.00047282,55.4835,101.6975,350.0840,9.8628,0,U,41860,999,5927,0.00000000000000,0.00000007,0.0000000000000,29600.326,844.704,23236.187,23208.196,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,5214595,325000199,0 GALILEO 16 (26C),1 41860U 16069B   26145.89517133  .00000007  00000-0  00000-0 0  9993,2 41860  55.4835 101.6975 0004728 350.0840   9.8628  1.70473945 59277,41860
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-28T06:46:34,18 SPCS,GALILEO 16 (26C),2016-069B,EARTH,TEME,UTC,SGP4,2026-05-27 15:43:04.503936+00:00,1.70474009,0.00047120,55.4846,101.6489,350.8102,9.1301,0,U,41860,999,5930,0.00000000000000,-0.00000003,0.0000000000000,29600.319,844.704,23236.132,23208.236,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,5217834,325451423,0 GALILEO 16 (26C),1 41860U 16069B   26147.65491324 -.00000003  00000-0  00000+0 0  9998,2 41860  55.4846 101.6489 0004712 350.8102   9.1301  1.70474009 59308,41860
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-28T02:30:48,18 SPCS,GALILEO 16 (26C),2016-069B,EARTH,TEME,UTC,SGP4,2026-05-27 15:43:04.504800+00:00,1.70474009,0.00047124,55.4846,101.6490,350.8102,9.1301,0,U,41860,999,5930,0.00000000000000,-0.00000003,0.0000000000000,29600.319,844.704,23236.133,23208.235,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,5217309,325411383,0 GALILEO 16 (26C),1 41860U 16069B   26147.65491325 -.00000003  00000-0  00000-0 0  9990,2 41860  55.4846 101.6490 0004712 350.8102   9.1301  1.70474009 59300,41860
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-28T15:57:22,18 SPCS,GALILEO 16 (26C),2016-069B,EARTH,TEME,UTC,SGP4,2026-05-28 05:47:45.029760+00:00,1.70474033,0.00047090,55.4849,101.6327,350.8222,9.1160,0,U,41860,999,5931,0.00000000000000,-0.00000005,0.0000000000000,29600.316,844.703,23236.120,23208.242,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,5218432,325569556,0 GALILEO 16 (26C),1 41860U 16069B   26148.24149340 -.00000005  00000-0  00000+0 0  9994,2 41860  55.4849 101.6327 0004709 350.8222   9.1160  1.70474033 59312,41860
